Nutrition,Unit,NutritionPer100 (g),NutritionValue,Food code
Carbohydrate (g),g,1.6,1.6,27450610
Total Fat (g),g,11.33,11.33,27450610
"Fiber, total dietary (g)",g,0.25,0.25,27450610
Energy (kcal),kcal,175.0,175.0,27450610
Protein (g),g,22.53,22.53,27450650
Carbohydrate (g),g,1.9,1.9,27450650
Total Fat (g),g,12.12,12.12,27450650
"Fiber, total dietary (g)",g,0.15,0.15,27450650
Energy (kcal),kcal,206.8,206.8,27450650
Protein (g),g,25.81,25.81,27450660
Carbohydrate (g),g,2.2,2.2,27450660
Total Fat (g),g,10.45,10.45,27450660
"Fiber, total dietary (g)",g,0.21,0.21,27450660
Energy (kcal),kcal,206.1,206.1,27450660
Protein (g),g,15.31,15.31,27450700
Carbohydrate (g),g,2.56,2.56,27450700
Total Fat (g),g,9.66,9.66,27450700
"Fiber, total dietary (g)",g,0.22,0.22,27450700
Energy (kcal),kcal,158.4,158.4,27450700
Protein (g),g,16.95,16.95,27450710
Carbohydrate (g),g,2.26,2.26,27450710
Total Fat (g),g,13.99,13.99,27450710
"Fiber, total dietary (g)",g,0.22,0.22,27450710
Energy (kcal),kcal,202.8,202.8,27450710
Protein (g),g,21.37,21.37,27450740
Carbohydrate (g),g,2.47,2.47,27450740
Total Fat (g),g,8.97,8.97,27450740
"Fiber, total dietary (g)",g,0.18,0.18,27450740
Energy (kcal),kcal,176.1,176.1,27450740
Protein (g),g,16.98,16.98,27450750
Carbohydrate (g),g,2.59,2.59,27450750
Total Fat (g),g,11.2,11.2,27450750
"Fiber, total dietary (g)",g,0.23,0.23,27450750
Energy (kcal),kcal,179.1,179.1,27450750
Protein (g),g,22.22,22.22,27450760
Carbohydrate (g),g,1.65,1.65,27450760
Total Fat (g),g,10.12,10.12,27450760
"Fiber, total dietary (g)",g,0.17,0.17,27450760
Energy (kcal),kcal,186.6,186.6,27450760
Protein (g),g,18.93,18.93,27451010
Carbohydrate (g),g,1.68,1.68,27451010
Total Fat (g),g,8.54,8.54,27451010
"Fiber, total dietary (g)",g,0.25,0.25,27451010
Energy (kcal),kcal,159.3,159.3,27451010
Protein (g),g,25.59,25.59,27451030
Carbohydrate (g),g,1.81,1.81,27451030
Total Fat (g),g,10.84,10.84,27451030
"Fiber, total dietary (g)",g,0.14,0.14,27451030
Energy (kcal),kcal,207.2,207.2,27451030
Protein (g),g,22.16,22.16,27451060
Carbohydrate (g),g,2.39,2.39,27451060
Total Fat (g),g,9.46,9.46,27451060
"Fiber, total dietary (g)",g,0.16,0.16,27451060
Energy (kcal),kcal,183.3,183.3,27451060
Protein (g),g,23.48,23.48,27451070
Carbohydrate (g),g,2.14,2.14,27451070
Total Fat (g),g,8.72,8.72,27451070
"Fiber, total dietary (g)",g,0.21,0.21,27451070
Energy (kcal),kcal,181.0,181.0,27451070
Protein (g),g,17.71,17.71,27460010
Carbohydrate (g),g,1.84,1.84,27460010
Total Fat (g),g,13.94,13.94,27460010
"Fiber, total dietary (g)",g,0.24,0.24,27460010
Energy (kcal),kcal,203.7,203.7,27460010
Protein (g),g,18.8,18.8,27460100
Carbohydrate (g),g,2.54,2.54,27460100
Total Fat (g),g,11.33,11.33,27460100
"Fiber, total dietary (g)",g,0.23,0.23,27460100
Energy (kcal),kcal,187.3,187.3,27460100
Protein (g),g,19.81,19.81,27460510
Carbohydrate (g),g,2.48,2.48,27460510
Total Fat (g),g,14.94,14.94,27460510
"Fiber, total dietary (g)",g,0.15,0.15,27460510
Energy (kcal),kcal,223.6,223.6,27460510
Protein (g),g,25.24,25.24,27460710
Carbohydrate (g),g,2.39,2.39,27460710
Total Fat (g),g,14.1,14.1,27460710
"Fiber, total dietary (g)",g,0.16,0.16,27460710
Energy (kcal),kcal,237.4,237.4,27460710
Protein (g),g,23.66,23.66,27460750
Carbohydrate (g),g,2.42,2.42,27460750
Total Fat (g),g,10.48,10.48,27460750
"Fiber, total dietary (g)",g,0.25,0.25,27460750
Energy (kcal),kcal,198.6,198.6,27460750
Protein (g),g,14.6,14.6,27462000
Carbohydrate (g),g,1.58,1.58,27462000
Total Fat (g),g,12.27,12.27,27462000
"Fiber, total dietary (g)",g,0.21,0.21,27462000
Energy (kcal),kcal,175.1,175.1,27462000
Protein (g),g,21.74,21.74,27463000
Carbohydrate (g),g,1.42,1.42,27463000
Total Fat (g),g,15.31,15.31,27463000
"Fiber, total dietary (g)",g,0.15,0.15,27463000
Energy (kcal),kcal,230.4,230.4,27463000
Protein (g),g,15.72,15.72,27464000
Carbohydrate (g),g,1.42,1.42,27464000
Total Fat (g),g,12.48,12.48,27464000
"Fiber, total dietary (g)",g,0.25,0.25,27464000
Energy (kcal),kcal,180.9,180.9,27464000
Protein (g),g,21.99,21.99,27500050
Carbohydrate (g),g,2.39,2.39,27500050
Total Fat (g),g,8.5,8.5,27500050
"Fiber, total dietary (g)",g,0.21,0.21,27500050
Energy (kcal),kcal,174.0,174.0,27500050
Protein (g),g,19.51,19.51,27500300
Carbohydrate (g),g,2.0,2.0,27500300
Total Fat (g),g,8.92,8.92,27500300
"Fiber, total dietary (g)",g,0.22,0.22,27500300
Energy (kcal),kcal,166.3,166.3,27500300
Protein (g),g,20.04,20.04,27500400
Carbohydrate (g),g,2.32,2.32,27500400
Total Fat (g),g,11.89,11.89,27500400
"Fiber, total dietary (g)",g,0.16,0.16,27500400
Energy (kcal),kcal,196.4,196.4,27500400
Protein (g),g,21.78,21.78,27510100
Carbohydrate (g),g,1.61,1.61,27510100
Total Fat (g),g,14.68,14.68,27510100
"Fiber, total dietary (g)",g,0.21,0.21,27510100
Energy (kcal),kcal,225.7,225.7,27510100
Protein (g),g,15.89,15.89,27510105
Carbohydrate (g),g,2.55,2.55,27510105
Total Fat (g),g,12.13,12.13,27510105
"Fiber, total dietary (g)",g,0.15,0.15,27510105
Energy (kcal),kcal,182.9,182.9,27510105
Protein (g),g,21.52,21.52,27510130
Carbohydrate (g),g,1.7,1.7,27510130
Total Fat (g),g,14.19,14.19,27510130
"Fiber, total dietary (g)",g,0.24,0.24,27510130
Energy (kcal),kcal,220.6,220.6,27510130
Protein (g),g,25.75,25.75,27510135
Carbohydrate (g),g,2.0,2.0,27510135
Total Fat (g),g,11.68,11.68,27510135
"Fiber, total dietary (g)",g,0.23,0.23,27510135
Energy (kcal),kcal,216.1,216.1,27510135
Protein (g),g,15.59,15.59,27510140
Carbohydrate (g),g,2.06,2.06,27510140
Total Fat (g),g,12.33,12.33,27510140
"Fiber, total dietary (g)",g,0.15,0.15,27510140
Energy (kcal),kcal,181.6,181.6,27510140
Protein (g),g,19.02,19.02,27510155
Carbohydrate (g),g,2.42,2.42,27510155
Total Fat (g),g,14.56,14.56,27510155
"Fiber, total dietary (g)",g,0.15,0.15,27510155
Energy (kcal),kcal,216.8,216.8,27510155
Protein (g),g,15.09,15.09,27510160
Carbohydrate (g),g,1.72,1.72,27510160
Total Fat (g),g,14.7,14.7,27510160
"Fiber, total dietary (g)",g,0.16,0.16,27510160
Energy (kcal),kcal,199.5,199.5,27510160
Protein (g),g,22.64,22.64,27510170
Carbohydrate (g),g,1.52,1.52,27510170
Total Fat (g),g,12.89,12.89,27510170
"Fiber, total dietary (g)",g,0.18,0.18,27510170
Energy (kcal),kcal,212.7,212.7,27510170
Protein (g),g,23.47,23.47,27510171
Carbohydrate (g),g,1.68,1.68,27510171
Total Fat (g),g,13.0,13.0,27510171
"Fiber, total dietary (g)",g,0.17,0.17,27510171
Energy (kcal),kcal,217.6,217.6,27510171
Protein (g),g,22.56,22.56,27510172
Carbohydrate (g),g,2.45,2.45,27510172
Total Fat (g),g,9.31,9.31,27510172
"Fiber, total dietary (g)",g,0.24,0.24,27510172
Energy (kcal),kcal,183.8,183.8,27510172
Protein (g),g,21.12,21.12,27510190
Carbohydrate (g),g,1.55,1.55,27510190
Total Fat (g),g,11.48,11.48,27510190
"Fiber, total dietary (g)",g,0.16,0.16,27510190
Energy (kcal),kcal,194.0,194.0,27510190
Protein (g),g,22.4,22.4,27510191
Carbohydrate (g),g,2.31,2.31,27510191
Total Fat (g),g,9.16,9.16,27510191
"Fiber, total dietary (g)",g,0.2,0.2,27510191
Energy (kcal),kcal,181.3,181.3,27510191
Protein (g),g,23.78,23.78,27510195
Carbohydrate (g),g,2.52,2.52,27510195
Total Fat (g),g,12.1,12.1,27510195
"Fiber, total dietary (g)",g,0.25,0.25,27510195
Energy (kcal),kcal,214.1,214.1,27510195
Protein (g),g,20.43,20.43,27510196
Carbohydrate (g),g,1.87,1.87,27510196
Total Fat (g),g,14.51,14.51,27510196
"Fiber, total dietary (g)",g,0.2,0.2,27510196
Energy (kcal),kcal,219.8,219.8,27510196
Protein (g),g,19.66,19.66,27510215
Carbohydrate (g),g,1.99,1.99,27510215
Total Fat (g),g,14.5,14.5,27510215
"Fiber, total dietary (g)",g,0.24,0.24,27510215
Energy (kcal),kcal,217.1,217.1,27510215
Protein (g),g,18.84,18.84,27510229
Carbohydrate (g),g,1.8,1.8,27510229
Total Fat (g),g,11.94,11.94,27510229
"Fiber, total dietary (g)",g,0.21,0.21,27510229
Energy (kcal),kcal,190.0,190.0,27510229
Protein (g),g,16.86,16.86,27510231
Carbohydrate (g),g,2.35,2.35,27510231
Total Fat (g),g,11.9,11.9,27510231
"Fiber, total dietary (g)",g,0.18,0.18,27510231
Energy (kcal),kcal,183.9,183.9,27510231
Protein (g),g,15.28,15.28,27510232
Carbohydrate (g),g,1.69,1.69,27510232
Total Fat (g),g,15.23,15.23,27510232
"Fiber, total dietary (g)",g,0.18,0.18,27510232
Energy (kcal),kcal,204.9,204.9,27510232
Protein (g),g,16.03,16.03,27510241
Carbohydrate (g),g,1.95,1.95,27510241
Total Fat (g),g,10.61,10.61,27510241
"Fiber, total dietary (g)",g,0.14,0.14,27510241
Energy (kcal),kcal,167.4,167.4,27510241
Protein (g),g,17.88,17.88,27510242
Carbohydrate (g),g,2.05,2.05,27510242
Total Fat (g),g,12.37,12.37,27510242
"Fiber, total dietary (g)",g,0.18,0.18,27510242
Energy (kcal),kcal,191.1,191.1,27510242
Protein (g),g,19.37,19.37,27510245
Carbohydrate (g),g,2.56,2.56,27510245
Total Fat (g),g,11.12,11.12,27510245
"Fiber, total dietary (g)",g,0.17,0.17,27510245
Energy (kcal),kcal,187.8,187.8,27510245
Protein (g),g,16.92,16.92,27510246
Carbohydrate (g),g,1.95,1.95,27510246
Total Fat (g),g,13.87,13.87,27510246
"Fiber, total dietary (g)",g,0.16,0.16,27510246
Energy (kcal),kcal,200.3,200.3,27510246
Protein (g),g,22.51,22.51,27510254
Carbohydrate (g),g,1.43,1.43,27510254
Total Fat (g),g,11.42,11.42,27510254
"Fiber, total dietary (g)",g,0.23,0.23,27510254
Energy (kcal),kcal,198.5,198.5,27510254
Protein (g),g,18.06,18.06,27510255
Carbohydrate (g),g,2.08,2.08,27510255
Total Fat (g),g,9.88,9.88,27510255
"Fiber, total dietary (g)",g,0.23,0.23,27510255
Energy (kcal),kcal,169.5,169.5,27510255
Protein (g),g,14.63,14.63,27510257
Carbohydrate (g),g,2.42,2.42,27510257
Total Fat (g),g,9.83,9.83,27510257
"Fiber, total dietary (g)",g,0.24,0.24,27510257
Energy (kcal),kcal,156.7,156.7,27510257
Protein (g),g,18.23,18.23,27510258
Carbohydrate (g),g,2.27,2.27,27510258
Total Fat (g),g,10.7,10.7,27510258
"Fiber, total dietary (g)",g,0.25,0.25,27510258
Energy (kcal),kcal,178.3,178.3,27510258
Protein (g),g,15.52,15.52,27510261
Carbohydrate (g),g,1.61,1.61,27510261
Total Fat (g),g,11.95,11.95,27510261
"Fiber, total dietary (g)",g,0.15,0.15,27510261
Energy (kcal),kcal,176.1,176.1,27510261
Protein (g),g,16.35,16.35,27510262
Carbohydrate (g),g,2.53,2.53,27510262
Total Fat (g),g,15.43,15.43,27510262
"Fiber, total dietary (g)",g,0.19,0.19,27510262
Energy (kcal),kcal,214.4,214.4,27510262
Protein (g),g,25.08,25.08,27510263
Carbohydrate (g),g,2.05,2.05,27510263
Total Fat (g),g,10.34,10.34,27510263
"Fiber, total dietary (g)",g,0.22,0.22,27510263
Energy (kcal),kcal,201.6,201.6,27510263
Protein (g),g,21.91,21.91,27510371
Carbohydrate (g),g,2.59,2.59,27510371
Total Fat (g),g,10.31,10.31,27510371
"Fiber, total dietary (g)",g,0.22,0.22,27510371
Energy (kcal),kcal,190.8,190.8,27510371
Protein (g),g,14.62,14.62,27510386
Carbohydrate (g),g,1.54,1.54,27510386
Total Fat (g),g,8.43,8.43,27510386
"Fiber, total dietary (g)",g,0.26,0.26,27510386
Energy (kcal),kcal,140.5,140.5,27510386
Protein (g),g,23.63,23.63,27510387
Carbohydrate (g),g,2.34,2.34,27510387
Total Fat (g),g,12.07,12.07,27510387
"Fiber, total dietary (g)",g,0.18,0.18,27510387
Energy (kcal),kcal,212.5,212.5,27510387
Protein (g),g,15.82,15.82,27510388
Carbohydrate (g),g,1.74,1.74,27510388
Total Fat (g),g,11.11,11.11,27510388
"Fiber, total dietary (g)",g,0.23,0.23,27510388
Energy (kcal),kcal,170.2,170.2,27510388
Protein (g),g,20.48,20.48,27510389
Carbohydrate (g),g,1.49,1.49,27510389
Total Fat (g),g,8.53,8.53,27510389
"Fiber, total dietary (g)",g,0.15,0.15,27510389
Energy (kcal),kcal,164.6,164.6,27510389
Protein (g),g,18.93,18.93,27510401
Carbohydrate (g),g,2.52,2.52,27510401
Total Fat (g),g,12.99,12.99,27510401
"Fiber, total dietary (g)",g,0.24,0.24,27510401
Energy (kcal),kcal,202.7,202.7,27510401
Protein (g),g,19.6,19.6,27510405
Carbohydrate (g),g,1.83,1.83,27510405
Total Fat (g),g,9.18,9.18,27510405
"Fiber, total dietary (g)",g,0.25,0.25,27510405
Energy (kcal),kcal,168.3,168.3,27510405
Protein (g),g,23.4,23.4,27510501
Carbohydrate (g),g,1.6,1.6,27510501
Total Fat (g),g,12.09,12.09,27510501
"Fiber, total dietary (g)",g,0.2,0.2,27510501
Energy (kcal),kcal,208.8,208.8,27510501
Protein (g),g,21.5,21.5,27510521
Carbohydrate (g),g,2.54,2.54,27510521
Total Fat (g),g,12.57,12.57,27510521
"Fiber, total dietary (g)",g,0.2,0.2,27510521
Energy (kcal),kcal,209.3,209.3,27510521
Protein (g),g,14.6,14.6,27510531
Carbohydrate (g),g,1.48,1.48,27510531
Total Fat (g),g,9.75,9.75,27510531
"Fiber, total dietary (g)",g,0.14,0.14,27510531
Energy (kcal),kcal,152.1,152.1,27510531
Protein (g),g,22.92,22.92,27510551
Carbohydrate (g),g,2.27,2.27,27510551
Total Fat (g),g,9.38,9.38,27510551
"Fiber, total dietary (g)",g,0.24,0.24,27510551
Energy (kcal),kcal,185.2,185.2,27510551
Protein (g),g,15.86,15.86,27510552
Carbohydrate (g),g,1.76,1.76,27510552
Total Fat (g),g,10.19,10.19,27510552
"Fiber, total dietary (g)",g,0.18,0.18,27510552
Energy (kcal),kcal,162.2,162.2,27510552
Protein (g),g,17.06,17.06,27510553
Carbohydrate (g),g,1.99,1.99,27510553
Total Fat (g),g,11.33,11.33,27510553
"Fiber, total dietary (g)",g,0.26,0.26,27510553
Energy (kcal),kcal,178.2,178.2,27510553
Protein (g),g,14.67,14.67,27510565
Carbohydrate (g),g,1.57,1.57,27510565
Total Fat (g),g,8.78,8.78,27510565
"Fiber, total dietary (g)",g,0.22,0.22,27510565
Energy (kcal),kcal,144.0,144.0,27510565
Protein (g),g,14.65,14.65,27510573
Carbohydrate (g),g,2.4,2.4,27510573
Total Fat (g),g,12.09,12.09,27510573
"Fiber, total dietary (g)",g,0.2,0.2,27510573
Energy (kcal),kcal,177.0,177.0,27510573
Protein (g),g,20.74,20.74,27510575
Carbohydrate (g),g,1.6,1.6,27510575
Total Fat (g),g,9.82,9.82,27510575
"Fiber, total dietary (g)",g,0.18,0.18,27510575
Energy (kcal),kcal,177.7,177.7,27510575
Protein (g),g,21.12,21.12,27510576
Carbohydrate (g),g,1.65,1.65,27510576
Total Fat (g),g,9.24,9.24,27510576
"Fiber, total dietary (g)",g,0.26,0.26,27510576
Energy (kcal),kcal,174.2,174.2,27510576
Protein (g),g,14.26,14.26,27510601
Carbohydrate (g),g,2.36,2.36,27510601
Total Fat (g),g,14.07,14.07,27510601
"Fiber, total dietary (g)",g,0.18,0.18,27510601
Energy (kcal),kcal,193.1,193.1,27510601
Protein (g),g,15.63,15.63,27510605
Carbohydrate (g),g,1.57,1.57,27510605
Total Fat (g),g,13.42,13.42,27510605
"Fiber, total dietary (g)",g,0.22,0.22,27510605
Energy (kcal),kcal,189.6,189.6,27510605
Protein (g),g,23.39,23.39,27510615
Carbohydrate (g),g,2.52,2.52,27510615
Total Fat (g),g,13.38,13.38,27510615
"Fiber, total dietary (g)",g,0.16,0.16,27510615
Energy (kcal),kcal,224.1,224.1,27510615
Protein (g),g,16.92,16.92,27510631
Carbohydrate (g),g,2.41,2.41,27510631
Total Fat (g),g,9.91,9.91,27510631
"Fiber, total dietary (g)",g,0.15,0.15,27510631
Energy (kcal),kcal,166.5,166.5,27510631
Protein (g),g,22.44,22.44,27510632
Carbohydrate (g),g,1.88,1.88,27510632
Total Fat (g),g,15.02,15.02,27510632
"Fiber, total dietary (g)",g,0.22,0.22,27510632
Energy (kcal),kcal,232.5,232.5,27510632
Protein (g),g,15.09,15.09,27510635
Carbohydrate (g),g,2.54,2.54,27510635
Total Fat (g),g,10.26,10.26,27510635
"Fiber, total dietary (g)",g,0.18,0.18,27510635
Energy (kcal),kcal,162.9,162.9,27510635
Protein (g),g,18.83,18.83,27510636
Carbohydrate (g),g,1.46,1.46,27510636
Total Fat (g),g,11.97,11.97,27510636
"Fiber, total dietary (g)",g,0.15,0.15,27510636
Energy (kcal),kcal,188.9,188.9,27510636
Protein (g),g,18.81,18.81,27510649
Carbohydrate (g),g,1.82,1.82,27510649
Total Fat (g),g,13.96,13.96,27510649
"Fiber, total dietary (g)",g,0.24,0.24,27510649
Energy (kcal),kcal,208.2,208.2,27510649
Protein (g),g,15.84,15.84,27510652
Carbohydrate (g),g,1.84,1.84,27510652
Total Fat (g),g,11.09,11.09,27510652
"Fiber, total dietary (g)",g,0.16,0.16,27510652
Energy (kcal),kcal,170.5,170.5,27510652
Protein (g),g,23.58,23.58,27510655
Carbohydrate (g),g,2.25,2.25,27510655
Total Fat (g),g,9.77,9.77,27510655
"Fiber, total dietary (g)",g,0.18,0.18,27510655
Energy (kcal),kcal,191.2,191.2,27510655
Protein (g),g,15.27,15.27,27510657
Carbohydrate (g),g,2.15,2.15,27510657
Total Fat (g),g,9.27,9.27,27510657
"Fiber, total dietary (g)",g,0.26,0.26,27510657
Energy (kcal),kcal,153.1,153.1,27510657
Protein (g),g,23.37,23.37,27510658
Carbohydrate (g),g,1.87,1.87,27510658
Total Fat (g),g,12.57,12.57,27510658
"Fiber, total dietary (g)",g,0.25,0.25,27510658
Energy (kcal),kcal,214.1,214.1,27510658
Protein (g),g,20.65,20.65,27510659
Carbohydrate (g),g,1.61,1.61,27510659
Total Fat (g),g,11.13,11.13,27510659
"Fiber, total dietary (g)",g,0.24,0.24,27510659
Energy (kcal),kcal,189.2,189.2,27510659
Protein (g),g,21.73,21.73,27510661
Carbohydrate (g),g,2.18,2.18,27510661
Total Fat (g),g,14.64,14.64,27510661
"Fiber, total dietary (g)",g,0.25,0.25,27510661
Energy (kcal),kcal,227.4,227.4,27510661
Protein (g),g,25.04,25.04,27510671
Carbohydrate (g),g,1.51,1.51,27510671
Total Fat (g),g,12.32,12.32,27510671
"Fiber, total dietary (g)",g,0.23,0.23,27510671
Energy (kcal),kcal,217.1,217.1,27510671
Protein (g),g,23.08,23.08,27510675
Carbohydrate (g),g,2.13,2.13,27510675
Total Fat (g),g,9.6,9.6,27510675
"Fiber, total dietary (g)",g,0.24,0.24,27510675
Energy (kcal),kcal,187.2,187.2,27510675
Protein (g),g,22.64,22.64,27510700
Carbohydrate (g),g,1.5,1.5,27510700
Total Fat (g),g,11.74,11.74,27510700
"Fiber, total dietary (g)",g,0.16,0.16,27510700
Energy (kcal),kcal,202.2,202.2,27510700
Protein (g),g,18.05,18.05,27510702
Carbohydrate (g),g,1.42,1.42,27510702
Total Fat (g),g,11.28,11.28,27510702
"Fiber, total dietary (g)",g,0.21,0.21,27510702
Energy (kcal),kcal,179.4,179.4,27510702
Protein (g),g,21.43,21.43,27510705
Carbohydrate (g),g,2.2,2.2,27510705
Total Fat (g),g,14.42,14.42,27510705
"Fiber, total dietary (g)",g,0.17,0.17,27510705
Energy (kcal),kcal,224.3,224.3,27510705
Protein (g),g,15.45,15.45,27510910
Carbohydrate (g),g,2.42,2.42,27510910
Total Fat (g),g,9.53,9.53,27510910
"Fiber, total dietary (g)",g,0.26,0.26,27510910
Energy (kcal),kcal,157.2,157.2,27510910
Protein (g),g,24.11,24.11,27510920
Carbohydrate (g),g,2.0,2.0,27510920
Total Fat (g),g,15.47,15.47,27510920
"Fiber, total dietary (g)",g,0.15,0.15,27510920
Energy (kcal),kcal,243.7,243.7,27510920
Protein (g),g,17.64,17.64,27510930
Carbohydrate (g),g,2.17,2.17,27510930
Total Fat (g),g,10.92,10.92,27510930
"Fiber, total dietary (g)",g,0.25,0.25,27510930
Energy (kcal),kcal,177.5,177.5,27510930
Protein (g),g,14.79,14.79,27510940
Carbohydrate (g),g,2.06,2.06,27510940
Total Fat (g),g,12.65,12.65,27510940
"Fiber, total dietary (g)",g,0.22,0.22,27510940
Energy (kcal),kcal,181.2,181.2,27510940
Protein (g),g,17.07,17.07,27510950
Carbohydrate (g),g,1.84,1.84,27510950
Total Fat (g),g,14.47,14.47,27510950
"Fiber, total dietary (g)",g,0.16,0.16,27510950
Energy (kcal),kcal,205.9,205.9,27510950
Protein (g),g,23.92,23.92,27513010
Carbohydrate (g),g,2.08,2.08,27513010
Total Fat (g),g,13.89,13.89,27513010
"Fiber, total dietary (g)",g,0.23,0.23,27513010
Energy (kcal),kcal,229.0,229.0,27513010
Protein (g),g,16.49,16.49,27513050
Carbohydrate (g),g,2.08,2.08,27513050
Total Fat (g),g,14.65,14.65,27513050
"Fiber, total dietary (g)",g,0.19,0.19,27513050
Energy (kcal),kcal,206.1,206.1,27513050
Protein (g),g,25.6,25.6,27513055
Carbohydrate (g),g,1.94,1.94,27513055
Total Fat (g),g,9.43,9.43,27513055
"Fiber, total dietary (g)",g,0.19,0.19,27513055
Energy (kcal),kcal,195.0,195.0,27513055
Protein (g),g,25.42,25.42,27513065
Carbohydrate (g),g,1.78,1.78,27513065
Total Fat (g),g,14.65,14.65,27513065
"Fiber, total dietary (g)",g,0.25,0.25,27513065
Energy (kcal),kcal,240.7,240.7,27513065
Protein (g),g,18.2,18.2,27513070
Carbohydrate (g),g,1.5,1.5,27513070
Total Fat (g),g,13.62,13.62,27513070
"Fiber, total dietary (g)",g,0.18,0.18,27513070
Energy (kcal),kcal,201.4,201.4,27513070
Protein (g),g,23.4,23.4,27514010
Carbohydrate (g),g,1.93,1.93,27514010
Total Fat (g),g,11.89,11.89,27514010
"Fiber, total dietary (g)",g,0.23,0.23,27514010
Energy (kcal),kcal,208.3,208.3,27514010
Protein (g),g,18.59,18.59,27514020
Carbohydrate (g),g,1.93,1.93,27514020
Total Fat (g),g,11.11,11.11,27514020
"Fiber, total dietary (g)",g,0.18,0.18,27514020
Energy (kcal),kcal,182.1,182.1,27514020
Protein (g),g,20.31,20.31,27514030
Carbohydrate (g),g,2.37,2.37,27514030
Total Fat (g),g,11.0,11.0,27514030
"Fiber, total dietary (g)",g,0.2,0.2,27514030
Energy (kcal),kcal,189.7,189.7,27514030
Protein (g),g,22.05,22.05,27514040
Carbohydrate (g),g,1.72,1.72,27514040
Total Fat (g),g,10.4,10.4,27514040
"Fiber, total dietary (g)",g,0.25,0.25,27514040
Energy (kcal),kcal,188.7,188.7,27514040
Protein (g),g,22.68,22.68,27516010
Carbohydrate (g),g,2.09,2.09,27516010
Total Fat (g),g,13.06,13.06,27516010
"Fiber, total dietary (g)",g,0.14,0.14,27516010
Energy (kcal),kcal,216.6,216.6,27516010
Protein (g),g,21.42,21.42,27517000
Carbohydrate (g),g,2.01,2.01,27517000
Total Fat (g),g,12.33,12.33,27517000
"Fiber, total dietary (g)",g,0.18,0.18,27517000
Energy (kcal),kcal,204.7,204.7,27517000
Protein (g),g,14.98,14.98,27520210
Carbohydrate (g),g,1.63,1.63,27520210
Total Fat (g),g,15.25,15.25,27520210
"Fiber, total dietary (g)",g,0.19,0.19,27520210
Energy (kcal),kcal,203.7,203.7,27520210
Protein (g),g,19.6,19.6,27520220
Carbohydrate (g),g,1.46,1.46,27520220
Total Fat (g),g,8.67,8.67,27520220
"Fiber, total dietary (g)",g,0.23,0.23,27520220
Energy (kcal),kcal,162.3,162.3,27520220
Protein (g),g,20.46,20.46,27520230
Carbohydrate (g),g,2.01,2.01,27520230
Total Fat (g),g,10.15,10.15,27520230
"Fiber, total dietary (g)",g,0.23,0.23,27520230
Energy (kcal),kcal,181.2,181.2,27520230
Protein (g),g,16.02,16.02,27520240
Carbohydrate (g),g,1.63,1.63,27520240
Total Fat (g),g,11.72,11.72,27520240
"Fiber, total dietary (g)",g,0.17,0.17,27520240
Energy (kcal),kcal,176.1,176.1,27520240
Protein (g),g,16.97,16.97,27520255
Carbohydrate (g),g,2.17,2.17,27520255
Total Fat (g),g,13.09,13.09,27520255
"Fiber, total dietary (g)",g,0.24,0.24,27520255
Energy (kcal),kcal,194.4,194.4,27520255
Protein (g),g,19.01,19.01,27520260
Carbohydrate (g),g,1.49,1.49,27520260
Total Fat (g),g,10.37,10.37,27520260
"Fiber, total dietary (g)",g,0.26,0.26,27520260
Energy (kcal),kcal,175.3,175.3,27520260
Protein (g),g,21.16,21.16,27520270
Carbohydrate (g),g,2.25,2.25,27520270
Total Fat (g),g,8.45,8.45,27520270
